user_id,label,Account type,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Savings type,Length of current employment,Instalment per cent,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
365397,1,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,1
95882,1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1
475797,1,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,1,2,1
462490,1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1
22123,1,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,1
3623,1,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,1
483560,1,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,1
182737,1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1
177144,1,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,1,2,1
106380,1,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,2,2,1
529063,1,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,1
425913,0,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1
455908,1,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,1
600901,1,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,1
299570,1,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,1,2,1
520656,1,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,1
537189,1,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,1,2,1
301658,1,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,1,1,1
726783,1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,1
555933,1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,1
399285,1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1
361860,1,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,1,2,1
793814,1,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1
529262,1,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,1
155327,0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,1
210264,1,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,1
339046,1,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,1
762714,1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1
699616,1,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,1
499385,1,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,1
664529,1,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,1
367126,1,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,1
266171,1,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,1
304912,1,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1
280055,1,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1
138256,1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,1
283615,1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1
780420,1,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,1
762358,1,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,1
612626,1,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1
152219,1,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,1
427653,1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1
707614,1,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,1
460778,1,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,1
354222,1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1
216248,1,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,1
76240,1,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,1
78091,1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,1
423986,1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1
521367,1,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1
611911,1,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,1
551856,1,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,1
64235,1,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,1
184905,1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,1
127232,1,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,2,1
379254,1,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,1
521450,1,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,1
284471,1,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,1,1,1
424172,1,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,1
386225,1,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,1
469710,1,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,1
660069,1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1
390227,1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,1
144395,1,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,1,1,1
369282,1,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1
224135,1,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,1
181680,1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,1
200440,1,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1
318046,1,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1
318282,1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1
612703,1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,1
494100,1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,1
222103,0,2,48,1,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,1,1,1
280104,1,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1
563554,1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,1
119606,1,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,1,2,1
289722,1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1
30892,1,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,1
349090,1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1
253213,1,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1
54737,1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1
459274,1,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,1,2,1
718469,1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,1
313935,1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,1
146528,1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1
10978,0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,1,1,1
89447,1,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,1
740753,1,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,1
580067,1,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1
70050,1,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,1,2,1
352274,1,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,1
319601,1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1
206414,1,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,1,2,1
544137,1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,1,2,1
127434,1,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,1
82499,1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1
209305,1,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1
169963,1,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,1
115212,1,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,1
600050,1,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,1
122378,1,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,1,2,1
586494,1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1
433757,1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,1
400947,1,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,1
109545,1,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,1
465249,1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,1
57015,1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1
512081,1,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1
542676,1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1
690448,1,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,1,2,1
414758,1,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,1
420037,1,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,1
72429,1,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,1
72190,1,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,1,1,1
234275,1,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,1
686165,1,4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1
367666,1,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1
274487,1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2
445718,1,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,1,1,2
739511,1,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,1,2,1
658577,1,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,1
585336,1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1
683680,1,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,1
675778,1,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,1
135923,1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2
101464,1,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1
656133,1,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1
97299,1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,2,1,2
182803,1,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,1,1,1
506391,1,3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,2,1,1
57692,1,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,1,1,1
11761,1,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,1,1,2
299842,1,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,1
552610,1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2
138854,1,1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,1,2,1
503704,1,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,1,1,1
513680,1,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,1
447802,1,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,1,1
161683,1,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,1
333097,1,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,1,1,1
666944,1,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,2,2,1
417998,1,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,1,1,1
116032,1,4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,1,1,1
496277,1,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1
644092,1,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,1,2,1
15706,1,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1
734604,1,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,1
379491,1,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1
190611,0,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,1
576031,1,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,1
228113,1,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,1,1,1
740786,1,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,1
77079,1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,1
794649,1,4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,1,1,1
191004,1,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,1,1,1
108650,1,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,1
237255,1,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1
367332,1,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,1,2,1
566182,1,4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,2,1,1
54102,1,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,1
698026,1,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,1,1,1
446201,1,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,1
334226,1,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,1
174350,1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1
714077,1,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,2,1,1
506387,1,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1
291792,1,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,1
486373,1,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,1,1,1
710656,1,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,1,2,1
632704,1,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1
644542,1,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1
414019,1,4,10,4,2,2146,1,2,1,2,1,3,1,23,3,1,2,3,1,1,1
238749,1,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1
260281,1,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1
234458,1,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1
506110,1,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1
30943,1,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,1,1,1
344355,1,4,9,2,2,1313,1,5,1,3,1,4,3,20,3,2,1,3,1,1,1
787754,1,4,12,2,3,1493,1,2,4,2,1,3,3,34,3,2,1,3,2,1,1
701684,1,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,1,1,1
225988,1,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,2,1,1
645738,1,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1
625426,1,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,1,1,1
220535,1,4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,2,1,1
236220,1,4,6,2,1,1236,3,3,2,3,1,4,2,50,3,1,1,3,1,1,1
6390,1,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,1,2,1
122134,1,4,6,2,5,660,3,4,2,4,1,4,1,23,3,1,1,2,1,1,1
570705,1,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1
176916,1,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1
229479,1,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1
204714,1,4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,1,2,1
173615,1,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,1,1,1
410762,1,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1
653595,1,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1
448327,1,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1
707883,1,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1
771260,1,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1
185023,1,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,1,1,1
184022,1,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,1,1,1
225919,1,4,6,2,0,672,1,1,1,2,1,4,1,54,3,2,1,1,1,2,1
46222,1,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1
644662,1,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1
503418,1,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1
422683,1,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1
748044,1,4,12,4,6,3565,5,2,2,3,1,1,2,37,3,2,2,2,2,1,1
555212,1,4,15,2,2,2221,3,3,2,2,1,4,3,20,3,1,1,3,1,1,1
239637,1,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1
316309,1,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1
734202,1,4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,1,1,1
127298,1,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1
20452,1,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,1,1,1
505434,1,4,6,3,9,1743,2,3,1,3,1,2,1,34,3,2,2,2,1,1,1
